ka_utf,ka_id,kunyomi_ka_display
"泥","ka_1191","どろ"
"滴","ka_1192","しずく、したた"
"殿","ka_1193","との"
"塗","ka_1194","ぬ"
"逃","ka_1195","に、のが"
"塔","ka_1196","n/a"
"筒","ka_1197","つつ"
"鈍","ka_1198","にぶ"
"軟","ka_1199","やわ"
"下","ka_12","した、しも、さ、くだ、お"
"知","ka_120","し"
"悩","ka_1200","なや"
"濃","ka_1201","こ"
"泊","ka_1202","と"
"薄","ka_1203","うす"
"爆","ka_1204","n/a"
"肌","ka_1205","はだ"
"髪","ka_1206","かみ"
"販","ka_1207","n/a"
"瓶","ka_1208","n/a"
"浮","ka_1209","う"
"前","ka_121","まえ"
"膚","ka_1210","n/a"
"舞","ka_1211","ま、まい"
"封","ka_1212","n/a"
"幅","ka_1213","はば"
"沸","ka_1214","わ"
"捕","ka_1215","と、つか"
"抱","ka_1216","だ、いだ、かか"
"帽","ka_1217","n/a"
"磨","ka_1218","みが"
"埋","ka_1219","う"
"後","ka_122","のち、うし、あと、おく"
"溶","ka_1220","と"
"腰","ka_1221","こし"
"踊","ka_1222","おど"
"粒","ka_1223","つぶ"
"了","ka_1224","n/a"
"涼","ka_1225","すず"
"療","ka_1226","n/a"
"涙","ka_1227","なみだ"
"零","ka_1228","n/a"
"齢","ka_1229","n/a"
"授","ka_123","さず"
"湾","ka_1230","n/a"
"腕","ka_1231","うで"
"離","ka_1232","はな"
"々","ka_1233","n/a"
"脱","ka_1234","ぬ"
"較","ka_1235","n/a"
"業","ka_124","わざ"
"遅","ka_125","おく、おそ"
"思","ka_126","おも"
"夜","ka_127","よ、よる"
"映","ka_128","うつ、は"
"画","ka_129","n/a"
"中","ka_13","なか"
"出","ka_130","で、だ"
"電","ka_131","n/a"
"会","ka_132","あ"
"物","ka_133","もの"
"返","ka_134","かえ"
"簡","ka_135","n/a"
"単","ka_136","n/a"
"直","ka_137","ただ、なお"
"習","ka_138","なら"
"困","ka_139","こま"
"右","ka_14","みぎ"
"持","ka_140","も"
"調","ka_141","しら、ととの"
"引","ka_142","ひ"
"聞","ka_143","き"
"野","ka_144","の"
"村","ka_145","むら"
"背","ka_146","せ、せい、そむ"
"高","ka_147","たか"
"低","ka_148","ひく"
"長","ka_149","なが"
"左","ka_15","ひだり"
"短","ka_150","みじか"
"着","ka_151","き、つ"
"楽","ka_152","たの"
"川","ka_153","かわ"
"質","ka_154","n/a"
"問","ka_155","と、とん"
"以","ka_156","も"
"多","ka_157","おお"
"若","ka_158","わか、も"
"太","ka_159","ふと"
"色","ka_16","いろ"
"止","ka_160","と、や"
"遠","ka_161","とお"
"忙","ka_162","いそが"
"借","ka_163","か"
"茶","ka_164","n/a"
"入","ka_165","い、はい"
"新","ka_166","あたら、あら、にい"
"教","ka_167","おし、おそ"
"味","ka_168","あじ"
"白","ka_169","しろ、しら"
"女","ka_17","おんな、め"
"青","ka_170","あお"
"黒","ka_171","くろ"
"方","ka_172","かた"
"運","ka_173","はこ"
"動","ka_174","うご"
"体","ka_175","からだ"
"痛","ka_176","いた"
"元","ka_177","もと"
"気","ka_178","n/a"
"変","ka_179","か"
"男","ka_18","おとこ"
"疲","ka_180","つか"
"寝","ka_181","ね"
"天","ka_182","あめ、あま"
"頭","ka_183","あたま、かしら"
"図","ka_184","はか"
"館","ka_185","たて"
"探","ka_186","さぐ、さが"
"失","ka_187","うしな"
"礼","ka_188","n/a"
"少","ka_189","すく、すこ"
"人","ka_19","ひと"
"自","ka_190","みずか、おの"
"由","ka_191","よし"
"無","ka_192","な"
"理","ka_193","n/a"
"言","ka_194","い、こと"
"度","ka_195","たび"
"集","ka_196","あつ、つど"
"音","ka_197","おと、ね"
"決","ka_198","き"
"事","ka_199","こと"
"二","ka_2","ふた"
"見","ka_20","み"
"切","ka_200","き"
"符","ka_201","n/a"
"悪","ka_202","わる、あ"
"実","ka_203","み、みの"
"病","ka_204","や、やまい"
"治","ka_205","おさ、なお"
"校","ka_206","n/a"
"心","ka_207","こころ"
"発","ka_208","た"
"番","ka_209","n/a"
"先","ka_21","さき"
"英","ka_210","n/a"
"文","ka_211","ふみ"
"法","ka_212","n/a"
"練","ka_213","ね"
"貸","ka_214","か、かし"
"森","ka_215","もり"
"試","ka_216","こころ、ため"
"験","ka_217","n/a"
"題","ka_218","n/a"
"全","ka_219","まった、すべ"
"車","ka_22","くるま"
"部","ka_220","n/a"
"目","ka_221","め、ま"
"号","ka_222","n/a"
"研","ka_223","と"
"究","ka_224","きわ"
"室","ka_225","むろ"
"連","ka_226","つら、つ"
"花","ka_227","はな"
"仕","ka_228","つか"
"経","ka_229","へ、た"
"国","ka_23","くに"
"済","ka_230","す"
"的","ka_231","まと"
"難","ka_232","かた、むずか"
"広","ka_233","ひろ"
"同","ka_234","おな"
"夏","ka_235","なつ"
"春","ka_236","はる"
"必","ka_237","かなら"
"要","ka_238","い、かなめ"
"交","ka_239","まじ、ま、か"
"時","ka_24","とき"
"通","ka_240","とお、かよ"
"冬","ka_241","ふゆ"
"走","ka_242","はし"
"重","ka_243","え、おも、かさ"
"卒","ka_244","n/a"
"社","ka_245","やしろ"
"勤","ka_246","つと"
"屋","ka_247","や"
"午","ka_248","n/a"
"机","ka_249","つくえ"
"間","ka_25","あいだ、ま"
"使","ka_250","つか"
"寒","ka_251","さむ"
"暑","ka_252","あつ"
"冷","ka_253","つめ、ひ、さ"
"誰","ka_254","だれ"
"急","ka_255","いそ"
"用","ka_256","もち"
"頃","ka_257","ころ"
"内","ka_258","うち"
"伝","ka_259","つた"
"半","ka_26","なか"
"欲","ka_260","ほっ、ほ"
"初","ka_261","はじ、はつ、うい、そ"
"次","ka_262","つ、つぎ"
"最","ka_263","もっと"
"田","ka_264","た"
"石","ka_265","いし"
"原","ka_266","はら"
"駅","ka_267","n/a"
"辺","ka_268","あた、べ"
"道","ka_269","みち"
"分","ka_27","わ"
"然","ka_270","n/a"
"工","ka_271","n/a"
"所","ka_272","ところ"
"横","ka_273","よこ"
"信","ka_274","n/a"
"曲","ka_275","ま"
"橋","ka_276","はし"
"向","ka_277","む"
"地","ka_278","n/a"
"銀","ka_279","n/a"
"月","ka_28","つき"
"角","ka_280","かど、つの"
"赤","ka_281","あか"
"祝","ka_282","いわ"
"相","ka_283","あい"
"談","ka_284","n/a"
"接","ka_285","つ"
"料","ka_286","n/a"
"払","ka_287","はら"
"期","ka_288","n/a"
"働","ka_289","はたら"
"火","ka_29","ひ"
"供","ka_290","そな、とも"
"彼","ka_291","かれ、かの"
"泣","ka_292","な"
"降","ka_293","お、ふ"
"晴","ka_294","は"
"曇","ka_295","くも"
"空","ka_296","そら、あ、から、むな"
"夕","ka_297","ゆう"
"準","ka_298","n/a"
"備","ka_299","そな"
"三","ka_3","み"
"水","ka_30","みず"
"歩","ka_300","ある、あゆ"
"歌","ka_301","うた"
"足","ka_302","あし、た"
"口","ka_303","くち"
"世","ka_304","よ"
"界","ka_305","n/a"
"医","ka_306","n/a"
"者","ka_307","もの"
"配","ka_308","くば"
"規","ka_309","n/a"
"木","ka_31","き、こ"
"則","ka_310","n/a"
"正","ka_311","ただ、まさ"
"活","ka_312","n/a"
"考","ka_313","かんが"
"計","ka_314","はか"
"奥","ka_315","おく"
"様","ka_316","さま"
"眠","ka_317","ねむ"
"外","ka_318","そと、ほか、はず"
"不","ka_319","n/a"
"金","ka_32","かね、かな"
"昔","ka_320","むかし"
"洋","ka_321","n/a"
"寄","ka_322","よ"
"風","ka_323","かぜ、かざ"
"呼","ka_324","よ"
"怒","ka_325","いか、おこ"
"宿","ka_326","やど"
"渡","ka_327","わた"
"旅","ka_328","たび"
"取","ka_329","と"
"土","ka_33","つち"
"盗","ka_330","ぬす"
"建","ka_331","た"
"宅","ka_332","n/a"
"申","ka_333","もう"
"願","ka_334","ねが"
"主","ka_335","ぬし、おも、あるじ"
"関","ka_336","せき、かか"
"特","ka_337","n/a"
"別","ka_338","わか"
"僕","ka_339","n/a"
"日","ka_34","ひ、か"
"予","ka_340","n/a"
"定","ka_341","さだ"
"写","ka_342","うつ"
"真","ka_343","ま"
"普","ka_344","n/a"
"意","ka_345","n/a"
"忘","ka_346","わす"
"覚","ka_347","おぼ、さ"
"席","ka_348","n/a"
"君","ka_349","きみ"
"百","ka_35","n/a"
"熱","ka_350","あつ"
"死","ka_351","し"
"結","ka_352","むす、ゆ"
"婚","ka_353","n/a"
"式","ka_354","n/a"
"牛","ka_355","うし"
"乳","ka_356","ちち、ち"
"沢","ka_357","さわ"
"町","ka_358","まち"
"他","ka_359","n/a"
"千","ka_36","ち"
"飯","ka_360","めし"
"答","ka_361","こた"
"店","ka_362","みせ"
"愛","ka_363","いと"
"合","ka_364","あ、あい"
"悲","ka_365","かな"
"職","ka_366","n/a"
"員","ka_367","n/a"
"幸","ka_368","さいわ、さち、しあわ"
"飛","ka_369","と"
"今","ka_37","いま"
"耳","ka_370","みみ"
"嫌","ka_371","きら、いや"
"窓","ka_372","まど"
"喜","ka_373","よろこ"
"反","ka_374","そ"
"対","ka_375","n/a"
"恋","ka_376","こ、こい"
"告","ka_377","つ"
"許","ka_378","ゆる"
"件","ka_379","n/a"
"小","ka_38","ちい、こ、お"
"戻","ka_380","もど"
"服","ka_381","n/a"
"曜","ka_382","n/a"
"品","ka_383","しな"
"未","ka_384","いま、ま"
"完","ka_385","n/a"
"海","ka_386","うみ"
"島","ka_387","しま"
"級","ka_388","n/a"
"顔","ka_389","かお"
"休","ka_39","やす"
"面","ka_390","おも、おもて、つら"
"企","ka_391","くわだ"
"市","ka_392","いち"
"頼","ka_393","たの、たよ"
"第","ka_394","n/a"
"表","ka_395","おもて、あらわ"
"将","ka_396","n/a"
"希","ka_397","n/a"
"場","ka_398","ば"
"査","ka_399","n/a"
"学","ka_4","まな"
"行","ka_40","い、ゆ、おこな"
"係","ka_400","かか、かかり"
"訳","ka_401","わけ"
"課","ka_402","n/a"
"続","ka_403","つづ"
"際","ka_404","きわ"
"望","ka_405","のぞ"
"成","ka_406","な"
"功","ka_407","n/a"
"約","ka_408","n/a"
"束","ka_409","たば"
"家","ka_41","いえ、や"
"受","ka_410","う"
"有","ka_411","あ"
"点","ka_412","n/a"
"識","ka_413","n/a"
"感","ka_414","n/a"
"送","ka_415","おく"
"数","ka_416","かず、かぞ"
"球","ka_417","たま"
"遊","ka_418","あそ"
"招","ka_419","まね"
"帰","ka_42","かえ"
"選","ka_420","えら"
"講","ka_421","n/a"
"義","ka_422","n/a"
"役","ka_423","n/a"
"立","ka_424","た、たて"
"論","ka_425","n/a"
"基","ka_426","もと、もとい"
