ka_utf,ka_id,kunyomi_ka_display
"蔵","ka_792","くら"
"庫","ka_793","n/a"
"器","ka_794","うつわ"
"凍","ka_795","こ、こご"
"聖","ka_796","n/a"
"豚","ka_797","ぶた"
"絶","ka_798","た"
"牧","ka_799","まき"
"私","ka_8","わたし、わたくし"
"万","ka_80","n/a"
"民","ka_800","たみ"
"誇","ka_801","ほこ"
"仏","ka_802","ほとけ"
"殺","ka_803","ころ"
"含","ka_804","ふく"
"緊","ka_805","n/a"
"吸","ka_806","す"
"筋","ka_807","すじ"
"奨","ka_808","n/a"
"衛","ka_809","n/a"
"語","ka_81","かた"
"迷","ka_810","まよ"
"充","ka_811","あ"
"礎","ka_812","いしずえ"
"標","ka_813","n/a"
"推","ka_814","お"
"到","ka_815","いた"
"否","ka_816","いな"
"労","ka_817","n/a"
"範","ka_818","n/a"
"囲","ka_819","かこ"
"東","ka_82","ひがし"
"征","ka_820","n/a"
"伏","ka_821","ふ"
"抵","ka_822","n/a"
"従","ka_823","したが"
"射","ka_824","い、さ"
"乱","ka_825","みだ"
"暴","ka_826","あば"
"概","ka_827","n/a"
"焼","ka_828","や"
"編","ka_829","あ"
"京","ka_83","n/a"
"雲","ka_830","くも"
"偏","ka_831","かたよ"
"甘","ka_832","あま"
"衣","ka_833","ころも"
"騒","ka_834","さわ"
"悟","ka_835","さと"
"避","ka_836","さ"
"乾","ka_837","かわ"
"杯","ka_838","さかずき"
"途","ka_839","n/a"
"育","ka_84","そだ"
"祈","ka_840","いの"
"互","ka_841","たが"
"賢","ka_842","かしこ"
"鳴","ka_843","な"
"純","ka_844","n/a"
"辛","ka_845","から"
"管","ka_846","くだ"
"暗","ka_847","くら"
"娘","ka_848","むすめ"
"侮","ka_849","あなど"
"住","ka_85","す"
"辱","ka_850","はずかし"
"弾","ka_851","ひ、はず、たま"
"王","ka_852","n/a"
"貝","ka_853","かい"
"糸","ka_854","いと"
"竹","ka_855","たけ"
"林","ka_856","はやし"
"羽","ka_857","は、わ、はね"
"園","ka_858","その"
"岩","ka_859","いわ"
"両","ka_86","n/a"
"汽","ka_860","n/a"
"弓","ka_861","ゆみ"
"魚","ka_862","うお、さかな"
"戸","ka_863","と"
"黄","ka_864","き、こ"
"谷","ka_865","たに"
"細","ka_866","ほそ、こま"
"矢","ka_867","や"
"寺","ka_868","てら"
"星","ka_869","ほし"
"親","ka_87","おや、した"
"船","ka_870","ふね、ふな"
"池","ka_871","いけ"
"刀","ka_872","かたな"
"麦","ka_873","むぎ"
"米","ka_874","こめ"
"里","ka_875","さと"
"委","ka_876","n/a"
"央","ka_877","n/a"
"宮","ka_878","みや"
"区","ka_879","n/a"
"南","ka_88","みなみ"
"血","ka_880","ち"
"湖","ka_881","みずうみ"
"港","ka_882","みなと"
"祭","ka_883","まつ、まつり"
"酒","ka_884","さけ、さか"
"昭","ka_885","n/a"
"勝","ka_886","か、まさ"
"整","ka_887","ととの"
"速","ka_888","はや、すみ"
"炭","ka_889","すみ"
"北","ka_89","きた"
"柱","ka_890","はしら"
"丁","ka_891","n/a"
"帳","ka_892","n/a"
"笛","ka_893","ふえ"
"投","ka_894","な"
"豆","ka_895","まめ"
"登","ka_896","のぼ"
"童","ka_897","わらべ"
"波","ka_898","なみ"
"箱","ka_899","はこ"
"古","ka_9","ふる"
"西","ka_90","にし"
"畑","ka_900","はた、はたけ"
"筆","ka_901","ふで"
"氷","ka_902","こおり、ひ"
"羊","ka_903","ひつじ"
"陽","ka_904","ひ"
"胃","ka_905","n/a"
"栄","ka_906","さか、は"
"塩","ka_907","しお"
"億","ka_908","n/a"
"加","ka_909","くわ"
"漢","ka_91","n/a"
"貨","ka_910","n/a"
"芽","ka_911","め"
"械","ka_912","n/a"
"官","ka_913","n/a"
"季","ka_914","n/a"
"紀","ka_915","n/a"
"旗","ka_916","はた"
"救","ka_917","すく"
"挙","ka_918","あ"
"鏡","ka_919","かがみ"
"字","ka_92","あざ"
"軍","ka_920","n/a"
"郡","ka_921","n/a"
"径","ka_922","n/a"
"候","ka_923","そうろう"
"航","ka_924","n/a"
"札","ka_925","ふだ"
"察","ka_926","n/a"
"士","ka_927","n/a"
"史","ka_928","n/a"
"司","ka_929","n/a"
"好","ka_93","この、す、よ、い"
"児","ka_930","n/a"
"辞","ka_931","や"
"周","ka_932","まわ"
"順","ka_933","n/a"
"松","ka_934","まつ"
"唱","ka_935","とな"
"照","ka_936","て"
"臣","ka_937","n/a"
"浅","ka_938","あさ"
"倉","ka_939","くら"
"終","ka_94","お"
"巣","ka_940","す"
"孫","ka_941","まご"
"帯","ka_942","お、おび"
"隊","ka_943","n/a"
"仲","ka_944","なか"
"貯","ka_945","n/a"
"兆","ka_946","きざ"
"腸","ka_947","n/a"
"底","ka_948","そこ"
"典","ka_949","n/a"
"始","ka_95","はじ"
"灯","ka_950","ひ"
"梅","ka_951","うめ"
"博","ka_952","n/a"
"票","ka_953","n/a"
"夫","ka_954","おっと"
"付","ka_955","つ"
"副","ka_956","n/a"
"粉","ka_957","こ、こな"
"兵","ka_958","n/a"
"包","ka_959","つつ"
"大","ka_96","おお"
"浴","ka_960","あ"
"類","ka_961","n/a"
"例","ka_962","たと"
"歴","ka_963","n/a"
"録","ka_964","n/a"
"因","ka_965","よ"
"永","ka_966","なが"
"液","ka_967","n/a"
"往","ka_968","n/a"
"桜","ka_969","さくら"
"四","ka_97","よ、よん"
"恩","ka_970","n/a"
"河","ka_971","かわ"
"過","ka_972","す、あやま"
"賀","ka_973","n/a"
"格","ka_974","n/a"
"額","ka_975","ひたい"
"刊","ka_976","n/a"
"幹","ka_977","みき"
"眼","ka_978","まなこ"
"久","ka_979","ひさ"
"五","ka_98","いつ"
"旧","ka_980","n/a"
"境","ka_981","さかい"
"均","ka_982","n/a"
"群","ka_983","む、むら"
"潔","ka_984","いさぎよ"
"券","ka_985","n/a"
"検","ka_986","n/a"
"効","ka_987","き"
"鉱","ka_988","n/a"
"妻","ka_989","つま"
"六","ka_99","む、むい"
"秒","ka_990","n/a"
"採","ka_991","と"
"財","ka_992","n/a"
"罪","ka_993","つみ"
"雑","ka_994","n/a"
"酸","ka_995","す"
"志","ka_996","こころざ、こころざし"
"師","ka_997","n/a"
"枝","ka_998","えだ"
"資","ka_999","n/a"
